,소재지전체주소,사업장명,업태구분명,지역
14591,서울특별시 종로구 동숭동 1-91번지 ,라구라구,통닭(치킨),동숭동
14624,서울특별시 종로구 신문로1가 31 2층 ,하이로 불닭,호프/통닭,신문로1가
14654,서울특별시 종로구 명륜2가 177번지 ,Best Friend(비에프),호프/통닭,명륜2가
14661,서울특별시 종로구 관철동 14-7번지 지상1층 ,도네누Ⅱ,통닭(치킨),관철동
14671,서울특별시 종로구 효제동 165번지 ,동동공주,호프/통닭,효제동
14679,서울특별시 종로구 종로6가 205-3번지 ,칼라식당,호프/통닭,종로6가
14704,서울특별시 종로구 종로5가 121-6번지 지하1층 ,종오,호프/통닭,종로5가
14733,서울특별시 종로구 무악동 67-2번지 ,포촌치킨독립문점,통닭(치킨),무악동
14739,서울특별시 종로구 익선동 57번지 ,치킨주막,호프/통닭,익선동
14784,서울특별시 종로구 관철동 6-5번지 ,마피아,호프/통닭,관철동
14814,서울특별시 종로구 명륜3가 2-24 (지상1층) ,The ( 더) 닭,통닭(치킨),명륜3가
14875,서울특별시 종로구 숭인동 217-19번지 지상2층 ,장작불바베큐,통닭(치킨),숭인동
14926,서울특별시 종로구 무악동 46-915번지 ,맛나치킨,통닭(치킨),무악동
14949,서울특별시 종로구 명륜3가 53번지 ,오픈창꼬,통닭(치킨),명륜3가
14958,서울특별시 종로구 창신동 583-30번지 지상1층 ,피자닭컴,통닭(치킨),창신동
15073,"서울특별시 종로구 혜화동 166-3번지 지상1,2층 ",토스피아,통닭(치킨),혜화동
15083,서울특별시 종로구 종로5가 214-6번지 ,뭐야뭐야,호프/통닭,종로5가
15122,서울특별시 종로구 종로1가 24번지 지하1층 B118-3호 ,종로 호프타운,호프/통닭,종로1가
15143,"서울특별시 종로구 내수동 73 경희궁의아침4단지 B133,B134 ",블랙 스완,호프/통닭,내수동
15152,서울특별시 종로구 돈의동 94번지 지상1층 ,모로,호프/통닭,돈의동
15203,서울특별시 종로구 효제동 249-1번지 2층 ,위드 비어,호프/통닭,효제동
15239,서울특별시 종로구 가회동 70-2 지층 ,떡가게 종춘 북촌점,호프/통닭,가회동
15330,"서울특별시 종로구 종로1가 24 르메이에르종로타운 지상2층 213,214호 ",텍사스,호프/통닭,종로1가
15416,서울특별시 종로구 관철동 13-13 종로코아빌딩 3층 ,스트라이크존 직영 종각점,호프/통닭,관철동
15441,서울특별시 종로구 통인동 46-41 1층 ,홉스치킨,호프/통닭,통인동
15471,서울특별시 종로구 효제동 123 1층 ,BHC 종로행복점,호프/통닭,효제동
15476,서울특별시 종로구 인의동 46-1번지 1층 ,비에이치씨(bhc)치킨,호프/통닭,인의동
15536,서울특별시 종로구 종로5가 45-1 ,한국통닭,호프/통닭,종로5가
15603,서울특별시 종로구 낙원동 55-1 ,소행성,호프/통닭,낙원동
15624,서울특별시 종로구 숭인동 218 1층 ,한국통닭,호프/통닭,숭인동
15632,서울특별시 종로구 연지동 85 ,바로두마리치킨,호프/통닭,연지동
15685,서울특별시 종로구 당주동 5번지 지하1층 ,광장맥주,통닭(치킨),당주동
15784,서울특별시 종로구 창신동 84-3번지 (지상1층) ,닭집,통닭(치킨),창신동
15786,서울특별시 종로구 묘동 201번지 (지하1층) ,본스치킨 종로3가점,통닭(치킨),묘동
15787,서울특별시 종로구 부암동 208-39번지 1층 ,제이디 라이브,호프/통닭,부암동
15806,서울특별시 종로구 옥인동 37번지 지상1층 ,용구비어,호프/통닭,옥인동
15807,서울특별시 종로구 명륜3가 53 지상1층 유림회관 14호,한잔더,호프/통닭,명륜3가
15814,서울특별시 종로구 내수동 74 광화문시대(102-1호) ,광화문 치킨뽀끼,통닭(치킨),내수동
15828,서울특별시 종로구 내자동 112-3 지상1층 101호 ,굽네치킨 (경복궁)점,통닭(치킨),내자동
15875,서울특별시 종로구 종로5가 45-3 1층 ,한국통닭,호프/통닭,종로5가
15898,서울특별시 종로구 도렴동 150-1번지 ,광화문 분식,호프/통닭,도렴동
15912,서울특별시 종로구 명륜4가 53 지하 1층 ,히든스시,호프/통닭,명륜4가
15913,서울특별시 종로구 종로5가 182-8 2층 ,동원커피호프,호프/통닭,종로5가
15917,서울특별시 종로구 창신동 20-40번지 (지상1층) ,비목,호프/통닭,창신동
15923,서울특별시 종로구 명륜3가 2-37번지 ,성대 통치킨,통닭(치킨),명륜3가
15937,서울특별시 종로구 창신동 633-6번지 (지하1층) ,발렌타인,호프/통닭,창신동
15941,서울특별시 종로구 혜화동 74-38번지 ,모심,호프/통닭,혜화동
15961,서울특별시 종로구 교남동 27번지 ,다울.민속점,호프/통닭,교남동
15969,서울특별시 종로구 종로5가 98번지 ,오늘통닭,통닭(치킨),종로5가
16004,서울특별시 종로구 관철동 12-5번지 ,봉구비어,호프/통닭,관철동
16018,서울특별시 종로구 동숭동 1-37번지 4층 ,이리스,호프/통닭,동숭동
16030,서울특별시 종로구 수송동 58번지 두산위브파빌리온 142호 ,이자카야마타,호프/통닭,수송동
16033,서울특별시 종로구 당주동 160번지 지하1층 6호 ,제이앤조이(J&Joy),호프/통닭,당주동
16063,서울특별시 종로구 숭인동 766번지 청계힐스테이트 단지내상가 나동 101호,치킨매니야,통닭(치킨),숭인동
16065,서울특별시 종로구 창신동 440-6번지 ,테라스(호프),통닭(치킨),창신동
16084,서울특별시 종로구 창신동 330-5번지 2층 ,압구정호프,호프/통닭,창신동
16093,서울특별시 종로구 창성동 109-2 지상1층 ,압셍트,호프/통닭,창성동
16095,서울특별시 종로구 동숭동 50-42번지 지상2층 ,좋은 친구들,호프/통닭,동숭동
16096,서울특별시 종로구 혜화동 185 중원빌딩 505-1호 ,칼리버,호프/통닭,혜화동
16125,서울특별시 종로구 창신동 436-73번지 지하1층 ,눈사람,호프/통닭,창신동
16153,서울특별시 종로구 효제동 268-2번지 지상1층 ,테마호프,호프/통닭,효제동
16158,서울특별시 종로구 신문로1가 238번지 신문로BD 지상1층 ,와바 광화문점,호프/통닭,신문로1가
16169,서울특별시 종로구 평창동 66-32번지 (지하1층) ,귀빈치킨,통닭(치킨),평창동
16173,서울특별시 종로구 낙원동 196번지 지하1층 ,종삼호프,호프/통닭,낙원동
16215,서울특별시 종로구 혜화동 15-44번지 ,거성치킨,통닭(치킨),혜화동
16232,서울특별시 종로구 숭인동 1388 1층 (109호) ,호프마당,호프/통닭,숭인동
16250,서울특별시 종로구 창신동 583-19번지 지상1층 ,두리아,통닭(치킨),창신동
16263,서울특별시 종로구 내수동 95 파크팰리스상가 105호 ,주크,호프/통닭,내수동
16276,서울특별시 종로구 청진동 191-1 (지상1층) ,광장가든,호프/통닭,청진동
16289,서울특별시 종로구 연건동 45-2 1층 ,연건식당,호프/통닭,연건동
16348,서울특별시 종로구 낙원동 210번지 (지상2층) ,주유소,호프/통닭,낙원동
16349,서울특별시 종로구 연건동 139-2번지 1층 ,구어조은닭,통닭(치킨),연건동
16354,서울특별시 종로구 누상동 166-161번지 지상2층 ,묘한술책,호프/통닭,누상동
16407,서울특별시 종로구 홍지동 91-3번지 ,SM,호프/통닭,홍지동
16408,서울특별시 종로구 명륜2가 188번지 지하1층 ,Bunker(벙커),호프/통닭,명륜2가
16419,서울특별시 종로구 충신동 188-14 (지상1층) ,스카이,호프/통닭,충신동
16440,서울특별시 종로구 팔판동 97-2 지상1.2층 ,치골뱅 비어뱅,호프/통닭,팔판동
16447,서울특별시 종로구 명륜4가 16-1번지 3층 ,꾼노리,호프/통닭,명륜4가
16488,"서울특별시 종로구 명륜2가 41-9번지 (지상8,9층) ",와라와라 대학로점,호프/통닭,명륜2가
